材质,通道,图像,尺寸,已打包
TX_039_CabinV2_Leather_WarmIvory,Base Color,V5_Base Color_5e9e6dece00b,2048 × 2048,True
TX_039_CabinV2_Leather_WarmIvory,Normal,V5_flat_normal,2048 × 2048,True
TX_039_CabinV2_Leather_WarmIvory,Roughness,V5_unit_factor,2048 × 2048,True
TX_040_CabinV2_Leather_DeepNavy,Base Color,V5_Base Color_25aa5357884d,2048 × 2048,True
TX_040_CabinV2_Leather_DeepNavy,Normal,V5_flat_normal,2048 × 2048,True
TX_040_CabinV2_Leather_DeepNavy,Roughness,V5_unit_factor,2048 × 2048,True
TX_044_CabinV2_Leather_Perforated_Cushion,Base Color,V5_unit_factor,2048 × 2048,True
TX_044_CabinV2_Leather_Perforated_Cushion,Normal,V5_flat_normal,2048 × 2048,True
TX_044_CabinV2_Leather_Perforated_Cushion,Roughness,V5_unit_factor,2048 × 2048,True
TX_042_CabinV2_Leather_WarmIvory,Base Color,V5_Base Color_5e9e6dece00b,2048 × 2048,True
TX_042_CabinV2_Leather_WarmIvory,Normal,V5_flat_normal,2048 × 2048,True
TX_042_CabinV2_Leather_WarmIvory,Roughness,V5_unit_factor,2048 × 2048,True
TX_043_CabinV2_Leather_DeepNavy,Base Color,V5_Base Color_25aa5357884d,2048 × 2048,True
TX_043_CabinV2_Leather_DeepNavy,Normal,V5_flat_normal,2048 × 2048,True
TX_043_CabinV2_Leather_DeepNavy,Roughness,V5_unit_factor,2048 × 2048,True
TX_045_CabinV2_Leather_WarmIvory,Base Color,V5_Base Color_5e9e6dece00b,2048 × 2048,True
TX_045_CabinV2_Leather_WarmIvory,Normal,V5_flat_normal,2048 × 2048,True
TX_045_CabinV2_Leather_WarmIvory,Roughness,V5_unit_factor,2048 × 2048,True
TX_046_CabinV2_Leather_DeepNavy,Base Color,V5_Base Color_25aa5357884d,2048 × 2048,True
TX_046_CabinV2_Leather_DeepNavy,Normal,V5_flat_normal,2048 × 2048,True
TX_046_CabinV2_Leather_DeepNavy,Roughness,V5_unit_factor,2048 × 2048,True
TX_047_CabinV2_Leather_WarmIvory,Base Color,V5_Base Color_5e9e6dece00b,2048 × 2048,True
TX_047_CabinV2_Leather_WarmIvory,Normal,V5_flat_normal,2048 × 2048,True
TX_047_CabinV2_Leather_WarmIvory,Roughness,V5_unit_factor,2048 × 2048,True
CabinV3_SatinAluminium,Base Color,V5_Base Color_bd0ca1a508c7,2048 × 2048,True
CabinV3_SatinAluminium,Normal,V5_flat_normal,2048 × 2048,True
CabinV3_SatinAluminium,Roughness,V5_Roughness_a5af8b7dfa04,2048 × 2048,True
TX_048_CabinV2_Door_INT_2.001,Base Color,9X_lanbai_INT_2.jpg.001,1024 × 1024,True
TX_048_CabinV2_Door_INT_2.001,Normal,INT_normal2.jpg.001,1024 × 1024,True
TX_048_CabinV2_Door_INT_2.001,Roughness,V5_Roughness_453bc4e4fcc5,2048 × 2048,True
TX_049_CabinV2_Door_INT_2.001,Base Color,9X_lanbai_INT_2.jpg.001,1024 × 1024,True
TX_049_CabinV2_Door_INT_2.001,Normal,INT_normal2.jpg.001,1024 × 1024,True
TX_049_CabinV2_Door_INT_2.001,Roughness,V5_Roughness_453bc4e4fcc5,2048 × 2048,True
CabinV2_Dashboard_INT_1.001,Base Color,9X_lanbai_INT_1.jpg.001,1024 × 1024,True
CabinV2_Dashboard_INT_1.001,Normal,INT_normal.jpg.001,1024 × 1024,True
CabinV2_Dashboard_INT_1.001,Roughness,V5_unit_factor,2048 × 2048,True
V4_soft_CabinV3_button_Car_INT_10,Base Color,01_soft_dashboard_BaseColor.png,2048 × 2048,True
